age,impressions,clicks,gender,date,age_group
62,330,6,male,2024-01-01,55-64
65,604,51,male,2024-01-02,65+
18,762,60,male,2024-01-03,18-24
21,130,15,female,2024-01-04,18-24
21,355,79,male,2024-01-05,18-24
57,631,29,female,2024-01-06,55-64
27,872,48,male,2024-01-07,25-34
37,760,96,female,2024-01-08,35-44
39,974,18,female,2024-01-09,35-44
68,686,83,male,2024-01-10,65+
54,223,60,female,2024-01-11,45-54
41,551,10,female,2024-01-12,35-44
24,314,28,male,2024-01-13,18-24
42,416,47,female,2024-01-14,35-44
42,841,54,female,2024-01-15,35-44
30,350,80,female,2024-01-16,25-34
19,705,61,female,2024-01-17,18-24
56,781,48,female,2024-01-18,55-64
57,652,29,male,2024-01-19,55-64
41,288,86,male,2024-01-20,35-44
64,309,26,female,2024-01-21,55-64
42,791,99,male,2024-01-22,35-44
35,396,23,male,2024-01-23,35-44
55,159,68,male,2024-01-24,55-64
43,590,94,female,2024-01-25,35-44
31,578,34,female,2024-01-26,25-34
26,641,42,male,2024-01-27,25-34
27,325,54,female,2024-01-28,25-34
38,706,45,male,2024-01-29,35-44
69,338,16,male,2024-01-30,65+
34,777,61,male,2024-01-31,25-34
69,482,68,male,2024-02-01,65+
23,316,19,female,2024-02-02,18-24
33,372,37,male,2024-02-03,25-34
65,967,70,male,2024-02-04,65+
18,267,70,male,2024-02-05,18-24
36,769,41,male,2024-02-06,35-44
53,608,30,female,2024-02-07,45-54
42,165,81,female,2024-02-08,35-44
67,891,77,male,2024-02-09,65+
69,300,55,female,2024-02-10,65+
47,484,17,female,2024-02-11,45-54
37,187,29,female,2024-02-12,35-44
37,905,24,female,2024-02-13,35-44
32,467,72,female,2024-02-14,25-34
57,547,15,female,2024-02-15,55-64
50,510,12,male,2024-02-16,45-54
19,829,57,female,2024-02-17,18-24
27,445,97,female,2024-02-18,25-34
50,234,19,male,2024-02-19,45-54
49,316,77,male,2024-02-20,45-54
28,603,51,female,2024-02-21,25-34
41,563,40,male,2024-02-22,35-44
53,201,86,female,2024-02-23,45-54
29,397,28,female,2024-02-24,25-34
